name1,CONFIGURATIONS,DISPERISION,ELECTRO,EXCHANGE,INDUCTION,TOTAL
AAGGAG10.RFD.,AAGGAG10.RFD.cif_227,-10.05990358,-47.85460771,36.25048537,-10.68417673,-32.34820265
ABEPUT.RFD.,ABEPUT.RFD.cif_443,-12.00690055,-48.81150451,43.32709515,-12.06252306,-29.55383297
ABIMIH.RFD.,ABIMIH.RFD.cif_1116,-14.14337829,-50.52461464,40.69297419,-20.21524058,-44.19025932
ABIMON.RFD.,ABIMON.RFD.cif_338,-12.26140308,-72.70887968,40.01181103,-17.59484504,-62.55331677
ABITAK.RFD.,ABITAK.RFD.cif_1007,-42.69134273,-42.41230976,47.40178007,-9.42507643,-47.12694885
ABUNUG01.RFD.,ABUNUG01.RFD.cif_832,-110.3993091,-52.20425755,86.75115198,-16.6744454,-92.52686011
ACEQUW.RFD.,ACEQUW.RFD.cif_311,-19.9239123,-106.4950895,94.42256554,-35.68846203,-67.68489827
ACERAD.RFD.,ACERAD.RFD.cif_357,-49.6932781,-40.92958578,43.69362308,-9.77347646,-56.70271726
ACEREH.RFD.,ACEREH.RFD.cif_409,-17.97312434,-30.7456499,27.86070641,-8.65815734,-29.51622517
ACESAE.RFD.,ACESAE.RFD.cif_876,-20.35820027,-103.0561018,92.37821091,-34.42665482,-65.46274601
ACESEI.RFD.,ACESEI.RFD.cif_581,-23.64214345,-121.5974266,123.8171777,-52.29424611,-73.71663844
ACESUY.RFD.,ACESUY.RFD.cif_416,-21.11803925,-106.8276217,99.356194,-37.25354056,-65.84300752
ACETAF01.RFD.,ACETAF01.RFD.cif_566,-19.5768972,-94.61204176,84.32749324,-25.33352983,-55.19497555
ACUDAG.RFD.,ACUDAG.RFD.cif_187,-18.66035083,-75.74370561,79.6879119,-20.03832017,-34.75446471
ACUDEK.RFD.,ACUDEK.RFD.cif_342,-14.76545659,-51.82855472,54.63315004,-13.1751324,-25.13599367
ACUDIO.RFD.,ACUDIO.RFD.cif_297,-18.81529789,-76.73515627,76.80874038,-20.11374991,-38.85546369
ADALAU.RFD.,ADALAU.RFD.cif_815,-3.60662348,-5.51645715,5.99676343,-1.6986879,-4.8250051
AFABUF.RFD.,AFABUF.RFD.cif_443,-22.58064554,-75.88247547,65.46973794,-17.07357236,-50.06695543
AFEQEJ.RFD.,AFEQEJ.RFD.cif_600,-22.26738424,-81.43936465,81.88246116,-28.9620275,-50.78631523
AFEQIN.RFD.,AFEQIN.RFD.cif_388,-28.0609884,-103.0869362,125.0804598,-41.66326922,-47.73073395
AFEQOT.RFD.,AFEQOT.RFD.cif_605,-25.93585037,-93.45194617,106.0303692,-37.91224258,-51.26966995
AFEQUZ.RFD.,AFEQUZ.RFD.cif_307,-22.73324281,-84.55346135,83.17350608,-32.07425402,-56.1874521
AFERAG.RFD.,AFERAG.RFD.cif_611,-25.43548194,-95.59454228,109.2893575,-37.35218521,-49.09285191
AFEREK.RFD.,AFEREK.RFD.cif_392,-26.03299146,-92.77601507,106.1410917,-35.89868807,-48.56660292
AFEVEN.RFD.,AFEVEN.RFD.cif_226,-15.06637439,-76.04396076,51.76681626,-18.68133883,-58.02485772
AFIGED.RFD.,AFIGED.RFD.cif_494,-23.7126617,-87.81510847,99.42231786,-21.52521111,-33.63066342
AFINIP.RFD.,AFINIP.RFD.cif_476,-16.0235782,-61.4695319,59.08840762,-13.01422246,-31.41892494
AFUTUS.RFD.,AFUTUS.RFD.cif_511,-7.51862989,-33.79259897,24.56171528,-6.53337891,-23.28289249
AGAMUS.RFD.,AGAMUS.RFD.cif_561,-8.14796596,-40.93427047,32.68239352,-7.62348517,-24.02332808
AGEROT.RFD.,AGEROT.RFD.cif_214,-16.0861469,-76.279537,66.97901196,-22.86616391,-48.25283585
AGIGEE.RFD.,AGIGEE.RFD.cif_532,-18.23212955,-63.67635799,59.87333553,-15.42328728,-37.45843929
AGIJIN.RFD.,AGIJIN.RFD.cif_467,-93.12695814,-51.2045866,76.63180129,-16.23733485,-83.9370783
AGOHEM.RFD.,AGOHEM.RFD.cif_302,-21.73067931,-91.51039331,98.32483456,-35.49055809,-50.40679615
AHEVOB.RFD.,AHEVOB.RFD.cif_1072,-48.47391947,-43.5030258,48.14940059,-12.79827422,-56.6258189
AJAKOL.RFD.,AJAKOL.RFD.cif_446,-21.848238,-63.69613488,69.70012724,-18.99132674,-34.83557238
AJAREJ.RFD.,AJAREJ.RFD.cif_202,-11.87326691,-57.98218141,51.66090585,-14.23464701,-32.42918948
AKENEK.RFD.,AKENEK.RFD.cif_472,-35.19947897,-100.969946,95.97891187,-24.91908022,-65.10959329
AKIGAE.RFD.,AKIGAE.RFD.cif_117,-144.0874628,-79.33512593,137.0907726,-41.88507927,-128.2168953
ALAGEZ.RFD.,ALAGEZ.RFD.cif_376,-10.84072433,-52.80652749,48.76640985,-15.88212414,-30.76296611
ALOROL.RFD.,ALOROL.RFD.cif_486,-111.0430686,-46.55802642,80.06209257,-16.90400172,-94.4430042
AMDOAD.RFD.,AMDOAD.RFD.cif_437,-14.75599521,-61.69503004,70.98458445,-27.06708178,-32.53352258
AMIHAH.RFD.,AMIHAH.RFD.cif_185,-19.07778989,-100.8871489,88.79084886,-32.46550393,-63.63959387
AMILEN.RFD.,AMILEN.RFD.cif_240,-19.54504877,-42.50186678,37.53763179,-10.00002996,-34.50931372
AMILUD.RFD.,AMILUD.RFD.cif_511,-19.78302359,-59.87598602,37.76607795,-12.72604004,-54.6189717
AMTETZ.RFD.,AMTETZ.RFD.cif_700,-6.09831015,-30.35818271,21.64624019,-5.70543906,-20.51569173
AMTZLB.RFD.,AMTZLB.RFD.cif_336,-13.55965714,-56.97195965,53.24807839,-15.49911906,-32.78265746
AMUMEC.RFD.,AMUMEC.RFD.cif_1251,-10.87866312,-45.77562777,38.54164353,-10.7096939,-28.82234126
ANITOI.RFD.,ANITOI.RFD.cif_812,-6.12154941,-26.33480816,20.49285291,-5.43705223,-17.40055689
ANTCYB.RFD.,ANTCYB.RFD.cif_162,-80.29696145,-36.75732812,64.34375201,-14.66510551,-67.37564307
ANZHDX.RFD.,ANZHDX.RFD.cif_686,-27.60944759,-28.33336096,20.61268045,-4.26190965,-39.59203775
APAKEJ.RFD.,APAKEJ.RFD.cif_168,-7.82845028,-33.87385961,26.4422756,-7.07631345,-22.33634774
APAMAH.RFD.,APAMAH.RFD.cif_937,-7.42180729,-35.09837664,25.0574044,-6.43578004,-23.89855957
APENAM.RFD.,APENAM.RFD.cif_1061,-15.46326936,-69.20161909,66.62923191,-15.90582001,-33.94147655
APENEQ.RFD.,APENEQ.RFD.cif_502,-11.98962487,-67.5126959,61.99479328,-19.90184413,-37.40937162
APENOA.RFD.,APENOA.RFD.cif_685,-11.46320867,-43.66789781,38.00742275,-8.71380401,-25.83748774
APENUG.RFD.,APENUG.RFD.cif_316,-7.43417481,-27.61943856,28.87845507,-6.33179772,-12.50695602
APUVUF.RFD.,APUVUF.RFD.cif_397,-22.3079366,-64.55396764,46.31560976,-17.98306135,-58.52935583
APUWOA.RFD.,APUWOA.RFD.cif_877,-27.65700893,-73.1556812,82.10658885,-31.31407407,-50.02017535
AQOSOQ.RFD.,AQOSOQ.RFD.cif_951,-8.6766495,-38.98825348,31.00653537,-8.41390723,-25.07227484
ASIZEI.RFD.,ASIZEI.RFD.cif_418,-23.64658669,-57.76850689,51.83607137,-17.47413965,-47.05316186
ASUVOA.RFD.,ASUVOA.RFD.cif_227,-8.21895105,-42.32614064,32.63806681,-8.61142685,-26.51845173
AWIBUG.RFD.,AWIBUG.RFD.cif_1087,-11.38822955,-49.55938224,45.44210999,-11.98041244,-27.48591424
AWIVEI.RFD.,AWIVEI.RFD.cif_806,-19.73723933,-61.7449006,73.53139922,-20.47823359,-28.4289743
AXAFEL.RFD.,AXAFEL.RFD.cif_651,-10.41123781,-53.72619647,44.26865462,-12.22414984,-32.0929295
AXIPBT.RFD.,AXIPBT.RFD.cif_186,-20.69608626,-33.20213165,24.24961326,-6.35090793,-35.99951258
AXUSET.RFD.,AXUSET.RFD.cif_486,-17.94660925,-73.7796585,77.93453366,-28.24253116,-42.03426525
AXUSUJ.RFD.,AXUSUJ.RFD.cif_1451,-21.32068787,-88.38446797,101.54895,-40.66635215,-48.82255803
AYAGIR.RFD.,AYAGIR.RFD.cif_378,-6.85379522,-37.14926538,26.40980854,-7.5435774,-25.13682946
AYEPUR.RFD.,AYEPUR.RFD.cif_791,-22.97137942,-69.73457103,76.21010687,-19.52662538,-36.02246896
AYEWIM.RFD.,AYEWIM.RFD.cif_608,-13.48926552,-67.1795966,56.5240553,-17.08425775,-41.22906457
AYOROW.RFD.,AYOROW.RFD.cif_406,-25.01397789,-90.74290977,96.07032062,-36.90876334,-56.59533038
AYORUD.RFD.,AYORUD.RFD.cif_536,-8.75904507,-39.2733403,27.73466681,-8.73091102,-29.02862958
AZADEN20.RFD.,AZADEN20.RFD.cif_486,-10.87739598,-49.35418297,50.93691641,-13.00030332,-22.29496586
AZAXIK.RFD.,AZAXIK.RFD.cif_340,-22.48554245,-52.99474789,45.41629317,-12.16527218,-42.22926935
AZAXOQ.RFD.,AZAXOQ.RFD.cif_177,-26.8378607,-74.80088783,51.36704387,-17.40293145,-67.67463611
AZGUAN.RFD.,AZGUAN.RFD.cif_557,-3.91144706,-16.81644967,9.24910922,-2.48983343,-13.96862094
AZILIG.RFD.,AZILIG.RFD.cif_370,-16.46556808,-77.38977278,59.89931415,-18.58913368,-52.54516039
AZUQAP.RFD.,AZUQAP.RFD.cif_852,-3.83631737,-11.28126156,2.51607734,-2.75908516,-15.36058675
BAFWIO.RFD.,BAFWIO.RFD.cif_462,-8.14606064,-23.20431369,12.18163988,-4.01199119,-23.18072564
BAGJEY10.RFD.,BAGJEY10.RFD.cif_1711,-8.01604869,-42.34255888,41.02266229,-8.84576275,-18.18170803
BAJXAP.RFD.,BAJXAP.RFD.cif_361,-19.30719853,-75.3020116,78.42722288,-23.74711481,-39.92910206
BAKDUQ.RFD.,BAKDUQ.RFD.cif_896,-10.254387,-43.90030924,36.90000284,-10.14305151,-27.39774491
BAKGOJ.RFD.,BAKGOJ.RFD.cif_447,-9.17440656,-44.74139167,40.23779347,-10.79932153,-24.47732629
BAKHIE.RFD.,BAKHIE.RFD.cif_711,-46.43241081,-92.58871918,65.64450712,-29.74719908,-103.123822
BANNIR.RFD.,BANNIR.RFD.cif_486,-14.73740156,-25.02484155,19.46247748,-5.67117856,-25.97094419
BARBAM01.RFD.,BARBAM01.RFD.cif_387,-13.05261615,-48.91123086,37.54989299,-12.44277132,-36.85672534
BARBUR.RFD.,BARBUR.RFD.cif_586,-15.2727511,-52.41984646,45.20625771,-13.58770767,-36.07404752
BAVYAY.RFD.,BAVYAY.RFD.cif_727,-39.71963016,-63.22617634,56.46125069,-13.1141315,-59.59868731
BAVYEC.RFD.,BAVYEC.RFD.cif_507,-26.0564961,-38.89938807,35.35930398,-8.70333441,-38.2999146
BAYXUU.RFD.,BAYXUU.RFD.cif_556,-12.32875219,-42.10179708,36.50500249,-11.21599527,-29.14154205
BAYZEJ.RFD.,BAYZEJ.RFD.cif_487,-8.12106604,-34.80084868,25.88121809,-5.71696508,-22.75766171
BECPIL.RFD.,BECPIL.RFD.cif_225,-99.66050585,-50.22414402,79.13932514,-17.13731264,-87.88263737
BECPOR.RFD.,BECPOR.RFD.cif_209,-55.36467253,-22.40705827,45.32267206,-8.02003604,-40.46909478
BECVEK.RFD.,BECVEK.RFD.cif_361,-45.29039788,-81.24728454,57.29370164,-22.07391726,-91.31789804
BEDJUP.RFD.,BEDJUP.RFD.cif_861,-25.85962861,-30.71938769,32.26306362,-6.42950968,-30.74546236
BEDQAG.RFD.,BEDQAG.RFD.cif_291,-63.63643375,-44.67381988,60.74566286,-12.55068107,-60.11527184
BEDQEK.RFD.,BEDQEK.RFD.cif_821,-37.69683849,-10.99115162,37.22054387,-8.9271677,-20.39461394
BEDQIO.RFD.,BEDQIO.RFD.cif_487,-92.48829146,-57.75216339,87.53126318,-18.65353612,-81.36272779
BEDQUA.RFD.,BEDQUA.RFD.cif_466,-79.83066929,-51.63507241,76.18735288,-16.04830772,-71.32669654
BEDREL.RFD.,BEDREL.RFD.cif_826,-91.10536191,-55.10348226,79.564212,-19.36335934,-86.00799151
BEMBEC.RFD.,BEMBEC.RFD.cif_845,-27.81145151,-69.49632208,68.80583823,-23.98902902,-52.49096438
BEMDUW.RFD.,BEMDUW.RFD.cif_502,-15.84194426,-76.03756205,61.38680345,-23.78926703,-54.28196989
BEPBAD.RFD.,BEPBAD.RFD.cif_285,-18.1175372,-29.91372222,22.66830298,-7.23016629,-32.59312273
BEPGUC.RFD.,BEPGUC.RFD.cif_260,-92.68488416,-47.49253477,70.69041916,-17.06650636,-86.55350613
BEPYOO.RFD.,BEPYOO.RFD.cif_514,-1.95763389,-2.5208037,2.78297505,-0.42684462,-2.12230716
BERFEM.RFD.,BERFEM.RFD.cif_1126,-27.37813441,-53.33870166,40.16591389,-11.99909259,-52.55001477
BERNOE.RFD.,BERNOE.RFD.cif_1062,-17.68511235,-34.85699461,22.8058829,-8.08533871,-37.82156277
BESJES.RFD.,BESJES.RFD.cif_591,-27.82340285,-125.3034894,129.2965475,-50.74911333,-74.57945809
BESLUG.RFD.,BESLUG.RFD.cif_1086,-14.8465369,-82.27376485,67.95414875,-20.24988114,-49.41603414
