CONFIGURATIONS,ELECTRO,EXCHANGE,INDUCTION,DISPERISION,TOTAL
AAGGAG10.RFD.cif_211.xyz,-4.21700269,2.02458711,-0.45876081,-1.85992403,-4.51110042
AAGGAG10.RFD.cif_226.xyz,-2.76171780,2.26626204,-0.38839076,-1.91629876,-2.80014528
AAGGAG10.RFD.cif_227.xyz,-47.85460771,36.25048537,-10.68417673,-10.05990358,-32.34820265
AAGGAG10.RFD.cif_310.xyz,4.97429174,1.89037067,-0.62867436,-2.28733168,3.94865638
AAGGAG10.RFD.cif_311.xyz,-1.41065270,0.91064249,-0.37811385,-1.56314580,-2.44126986
AAGGAG10.RFD.cif_326.xyz,-9.90380780,4.25359531,-1.23010444,-3.79896741,-10.67928435
ABEPUT.RFD.cif_442.xyz,-21.52319874,13.48401561,-3.89518621,-10.19270780,-22.12707714
ABEPUT.RFD.cif_443.xyz,-48.81150451,43.32709515,-12.06252306,-12.00690055,-29.55383297
ABEPUT.RFD.cif_471.xyz,-1.01316564,5.39975360,-0.48598315,-6.03606500,-2.13546019
ABEPUT.RFD.cif_472.xyz,-45.07556390,56.35240918,-10.73909343,-28.87424637,-28.33649453
ABEPUT.RFD.cif_610.xyz,-0.51902664,2.39680987,-0.32681858,-2.90381849,-1.35285384
ABEPUT.RFD.cif_611.xyz,0.94040117,4.96168162,-0.61300791,-6.92143462,-1.63235974
ABEPUT.RFD.cif_641.xyz,-4.08961152,6.43854303,-0.91753421,-12.12573632,-10.69433902
ABIMIH.RFD.cif_1022.xyz,-6.46327088,4.28632916,-1.33410311,-4.12497133,-7.63601616
ABIMIH.RFD.cif_1031.xyz,-67.98617592,89.19471073,-14.21834789,-119.00486829,-112.01468136
ABIMIH.RFD.cif_1032.xyz,-67.98535892,89.19493558,-14.21810899,-119.00488113,-112.01341345
ABIMIH.RFD.cif_1081.xyz,5.87836396,4.92537316,-1.26034771,-4.91312348,4.63026593
ABIMIH.RFD.cif_1082.xyz,-9.28127103,13.28959204,-3.03617304,-6.47793150,-5.50578352
ABIMIH.RFD.cif_1087.xyz,17.98162871,0.45922606,-1.52085145,-4.55937105,12.36063226
ABIMIH.RFD.cif_1091.xyz,-50.27243628,22.20182419,-13.64904363,-24.13269945,-65.85235516
ABIMIH.RFD.cif_1116.xyz,-50.52461464,40.69297419,-20.21524058,-14.14337829,-44.19025932
ABIMIH.RFD.cif_1151.xyz,-10.78180457,3.83714529,-2.11277641,-6.17321393,-15.23064961
ABIMIH.RFD.cif_1197.xyz,-49.13278676,38.45344064,-18.74111488,-12.77120647,-42.19166748
ABIMIH.RFD.cif_1227.xyz,-8.45508806,0.89035121,-1.34046696,-3.17698034,-12.08218414
ABIMIH.RFD.cif_1231.xyz,-65.06870234,64.43342483,-19.53098907,-20.58180861,-40.74807519
ABIMIH.RFD.cif_827.xyz,-8.45509825,0.89035122,-1.34047222,-3.17698030,-12.08219955
ABIMIH.RFD.cif_832.xyz,6.12321671,3.50438015,-1.14129266,-5.73038848,2.75591572
ABIMIH.RFD.cif_887.xyz,-10.78482726,3.83737694,-2.11354877,-6.17347494,-15.23447403
ABIMIH.RFD.cif_893.xyz,8.90869977,4.49251487,-1.43146588,-7.30489218,4.66485659
ABIMIH.RFD.cif_953.xyz,17.97622604,0.45911897,-1.52045971,-4.55925644,12.35562885
ABIMIH.RFD.cif_997.xyz,2.39325204,2.54339143,-0.53647435,-2.36546848,2.03470063
ABIMON.RFD.cif_107.xyz,-46.64807218,28.68644153,-12.41165683,-26.13708368,-56.51037116
ABIMON.RFD.cif_132.xyz,-6.69731886,4.19026398,-1.75985975,-5.02009958,-9.28701420
ABIMON.RFD.cif_149.xyz,10.65250557,4.16908310,-1.60926292,-8.98046484,4.23186092
ABIMON.RFD.cif_158.xyz,1.32614453,2.55274656,-0.93998959,-5.61411877,-2.67521727
ABIMON.RFD.cif_202.xyz,-10.85456849,5.72123301,-1.69778057,-6.23933209,-13.07044814
ABIMON.RFD.cif_206.xyz,-18.29314170,19.75105921,-4.34059674,-34.84911558,-37.73179481
ABIMON.RFD.cif_214.xyz,14.43023136,6.47677013,-1.65577646,-13.63007134,5.62115369
ABIMON.RFD.cif_231.xyz,-10.33496175,11.54860803,-3.27341328,-10.95979344,-13.01956044
ABIMON.RFD.cif_238.xyz,-6.06287482,11.53647801,-3.90308515,-14.70151184,-13.13099381
ABIMON.RFD.cif_257.xyz,-7.38994242,2.13523308,-1.91206543,-6.75185366,-13.91862844
ABIMON.RFD.cif_260.xyz,-10.85798495,5.65432166,-2.62592984,-3.62672266,-11.45631579
ABIMON.RFD.cif_297.xyz,-21.57215164,44.91589992,-11.23652450,-67.19873493,-55.09151115
ABIMON.RFD.cif_302.xyz,-14.95722966,4.61177839,-2.30721028,-4.90813015,-17.56079170
ABIMON.RFD.cif_307.xyz,-3.01807998,1.00367430,-1.60532135,-3.84006362,-7.45979065
